                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.1191,                 1.1661,                 1.0592,                0.51571,                 0.5119,                0.57218,                0.39677,                 1.3541,                 1.2669,                 1.2083,             0.00099044,             0.00099044,             0.00099044
                     65,                   1.11,                 1.0291,                 1.0631,                0.67036,                0.84524,                0.88156,                 0.6333,                 1.3006,                 1.2275,                 1.1978,             0.00098337,             0.00098337,             0.00098337
                     66,                 1.1375,                 1.1231,                 1.0472,                0.64909,                0.79762,                0.87683,                0.61215,                 1.1397,                 1.1772,                 1.1042,             0.00097629,             0.00097629,             0.00097629
                     67,                 1.0529,                 1.0279,                  1.044,                0.61454,                0.82143,                0.89035,                0.64268,                 1.1122,                   1.05,                 1.1012,             0.00096922,             0.00096922,             0.00096922
                     68,                 1.0458,                 1.0011,                 1.0686,                0.60289,                0.95164,                0.88042,                0.64711,                 1.1722,                0.98999,                 1.1452,             0.00096215,             0.00096215,             0.00096215
                     69,                 1.0464,                 1.0734,                 1.0253,                0.79521,                0.72424,                 0.8863,                0.59887,                 1.2248,                 1.2205,                 1.1555,             0.00095507,             0.00095507,             0.00095507
                     70,                 1.1266,                 1.1685,                 1.0389,                0.75516,                0.77668,                0.85672,                0.60476,                  1.247,                 1.3074,                 1.2015,               0.000948,               0.000948,               0.000948
                     71,                 1.0852,                 1.0239,                 1.0825,                0.50848,                0.85714,                0.80136,                0.52949,                  1.334,                 1.3632,                 1.3234,             0.00094093,             0.00094093,             0.00094093
                     72,                 1.0752,                  1.011,                 1.0029,                0.55952,                0.87166,                0.85115,                0.56578,                 1.2658,                 1.2475,                 1.3179,             0.00093385,             0.00093385,             0.00093385
                     73,                 1.1354,                 0.9755,                 1.0275,                0.87459,                0.73448,                0.84938,                0.57578,                  1.233,                 1.2662,                 1.1616,             0.00092678,             0.00092678,             0.00092678
                     74,                 1.0406,                0.93437,                 1.0131,                0.83547,                0.88326,                0.90586,                0.66586,                 1.2756,                 1.2046,                 1.1875,              0.0009197,              0.0009197,              0.0009197
                     75,                 1.1253,                0.96476,                 1.0264,                0.75654,                0.88095,                0.88827,                0.66553,                 1.1602,                 1.1464,                  1.161,             0.00091263,             0.00091263,             0.00091263
                     76,                 1.0755,                0.92395,                0.99372,                0.83077,                0.88679,                0.89347,                0.63107,                 1.2197,                 1.1472,                 1.2199,             0.00090556,             0.00090556,             0.00090556
                     77,                0.98455,                0.86145,                 1.0089,                0.83988,                   0.75,                0.84546,                0.56998,                 1.3494,                 1.2808,                 1.2316,             0.00089848,             0.00089848,             0.00089848
                     78,                 1.0708,                0.98938,                 1.0104,                 0.8159,                0.68436,                0.83357,                0.55243,                 1.3114,                 1.3034,                 1.2297,             0.00089141,             0.00089141,             0.00089141
                     79,                 1.0084,                0.90746,                 1.0432,                0.65316,                0.77838,                0.66674,                0.43896,                 1.4051,                 1.4751,                 1.2758,             0.00088434,             0.00088434,             0.00088434
                     80,                 1.0699,                 1.0587,                  1.054,                0.55058,                 0.8773,                0.69073,                0.46035,                 1.3087,                  1.353,                 1.2447,             0.00087726,             0.00087726,             0.00087726
                     81,                0.99785,                0.95098,                  1.021,                 0.5687,                0.86905,                0.71839,                0.49323,                 1.1858,                 1.1771,                 1.1839,             0.00087019,             0.00087019,             0.00087019
                     82,                 1.0618,                0.94675,                0.99728,                0.84587,                0.75734,                0.86252,                0.65164,                 1.1896,                 1.1854,                 1.1318,             0.00086312,             0.00086312,             0.00086312
                     83,                 1.0013,                0.95803,                 1.0068,                0.85465,                0.69311,                0.84143,                0.65252,                 1.2121,                  1.213,                 1.0594,             0.00085604,             0.00085604,             0.00085604
                     84,                   1.03,                0.93602,                 1.0362,                0.74587,                0.85291,                0.88165,                0.64681,                 1.2058,                 1.0655,                 1.1024,             0.00084897,             0.00084897,             0.00084897
                     85,                0.99541,                0.91036,                 1.0163,                0.80895,                0.96171,                0.92984,                0.65184,                  1.219,                  1.056,                 1.1509,              0.0008419,              0.0008419,              0.0008419
                     86,                 1.0262,                0.96126,                 1.0398,                0.80451,                0.96001,                 0.9281,                0.68531,                 1.2152,                 1.0585,                  1.187,             0.00083482,             0.00083482,             0.00083482
                     87,                 1.0888,                 1.0396,                 1.0063,                0.77391,                0.81198,                0.88799,                0.68265,                 1.2649,                 1.1326,                 1.2189,             0.00082775,             0.00082775,             0.00082775
                     88,                 1.0267,                0.95729,                  1.011,                0.65226,                0.83709,                0.84566,                0.64378,                 1.1875,                   1.22,                 1.0164,             0.00082067,             0.00082067,             0.00082067
                     89,                0.98599,                0.92712,                 1.0004,                0.74281,                0.74837,                0.84659,                0.56915,                 1.2618,                 1.2655,                 1.0636,              0.0008136,              0.0008136,              0.0008136
